keyword,generated_design_action
textile,create layered surfaces
thread,extend linear elements through space
pavilion,form temporary spatial frames
architecture,organise lines into structural systems
dance,translate motion into curved paths
structure,increase support and connection points
movement,generate directional flow
body,respond to human scale and gesture
knot,create dense connection nodes
tension,pull elements between anchor points
ritual,repeat actions in a sequence
weaving,interlace multiple lines
frame,define spatial boundaries
suspend,lift elements from the ground
connection,link separate points into a network
