file,red_ratio,edge_density,skeleton_length,red_n,edge_n,skeleton_n,fragment_id,keyword,cluster,x,y,z,pipe_radius,rib_count,height,twist
image1.jpg,0.20150824635900308,0.030688587827223095,10091,0.37684639030739775,0.050289129261451036,0.029181048007530592,0,material,0,0,0,0.2918104800753059,0.1818962366075892,6,3.350172576090367,16.958087563832898
image10.jpg,0.09517145972041548,0.08396872251335727,132231,0.1537062087529346,0.2528358461538475,0.7135461024698552,1,structure,1,6,8,7.135461024698552,0.1037971730635271,8,11.562553229638262,36.91677939388206
image11.jpg,0.0616032881252453,0.07558954036021107,50195,0.0832657888288712,0.22098202586302146,0.25388856515307723,2,movement,2,12,16,2.538885651530772,0.07914302609010493,8,6.046662781836927,63.746960497299206
image12.jpg,0.03553522359615299,0.07779605992110979,46683,0.02856380999660602,0.22937020459889837,0.23421040835537227,3,material,0,18,0,2.3421040835537226,0.05999733349881211,8,5.810524900264467,1.2853714498472708
image13.jpg,0.18417911739969325,0.07172673526938109,18185,0.34048244604694644,0.20629740665641008,0.07453269980725268,4,structure,1,24,8,0.7453269980725268,0.16916885611643123,7,3.894392397687032,45.32171007211259
image14.jpg,0.14800121878742717,0.1393973035836574,38790,0.2645656996434909,0.4635499741103418,0.18998498363889013,5,movement,2,30,16,1.8998498363889014,0.14259799487522182,11,5.2798198036666815,71.9054564839571
image15.jpg,0.3698347412570889,0.02937071715500945,12507,0.7300675644589525,0.045279187385025635,0.04271818548567843,6,material,0,36,0,0.4271818548567843,0.3055236475606333,6,3.512618225828141,32.85304040065286
image16.jpg,0.026100190888923284,0.15486250838363513,26136,0.008765065104877751,0.5223416133724553,0.11908310547312743,7,structure,1,42,8,1.1908310547312744,0.05306777278670721,11,4.428997265677529,30.394427929719498
image17.jpg,0.021923225308641974,0.17456404320987653,81324,0.0,0.5972378429015991,0.42830808194002423,8,movement,2,48,16,4.283080819400242,0.05,12,8.139696983280292,60.0
image18.jpg,0.3152584769316287,0.10825273299981471,183355,0.6155431565366207,0.3451525534217165,1.0,9,material,0,54,0,10.0,0.26544010478781727,9,15.0,27.699442044147933
image19.jpg,0.02422526041666667,0.28051106770833334,74741,0.004830656898588046,1.0,0.3914227441839616,10,structure,1,60,8,3.914227441839616,0.051690729914505816,17,7.69707293020754,30.217379560436463
image2.jpg,0.03419490254872564,0.02941229385307346,8246,0.02575124163415677,0.04543724298570495,0.01884329194495495,11,movement,2,66,16,0.18843291944954949,0.059012934571954875,6,3.2261195033394596,61.158805873537055
image20.jpg,0.3345754168473334,0.19128168236824472,134295,0.6560783806685756,0.6607906650869466,0.7251109417723789,12,material,0,72,0,7.251109417723789,0.27962743323400147,13,11.701331301268546,29.523527130085903
image21.jpg,0.23041871648273723,0.19159547710854052,120801,0.4375129550603893,0.6619835692490593,0.6495024429602403,13,structure,1,78,8,6.4950244296024024,0.20312953427113623,13,10.794029315522884,49.688082977717514
image22.jpg,0.2226806608163808,0.04426771705890174,27465,0.421275195759482,0.10191077136758214,0.12652965171007216,14,movement,2,84,16,1.2652965171007216,0.19744631851581868,6,4.518355820520866,78.95738380917669
image23.jpg,0.05284573739035088,0.07385896381578948,48889,0.06488869165742409,0.21440316491478137,0.24657089067192614,15,material,0,90,0,2.4657089067192612,0.07271104208009843,8,5.958850688063114,2.919991124584084
image24.jpg,0.4514496813502346,0.07703795784018488,81981,0.9013307098447332,0.22648824702755999,0.4319893316598682,16,structure,1,96,8,4.319893316598682,0.3654657484456566,8,8.183871979918418,70.559881943013
image25.jpg,0.49847023668872087,0.017459977551984876,11083,1.0,0.0,0.03473934286610785,17,movement,2,102,16,0.34739342866107853,0.39999999999999997,5,3.416872114393294,105.0
image3.jpg,0.29237726098191213,0.024285099052540914,4883,0.5675285527235518,0.025945992075149436,0.0,18,material,0,108,0,0.0,0.24863499345324314,5,3.0,25.538784872559834
image4.jpg,0.3531443346569397,0.07086526918459692,19131,0.6950439336280427,0.2030225063917043,0.07983325115424268,19,structure,1,114,8,0.7983325115424268,0.29326537676981496,7,3.9579990138509125,61.27697701326193
