file,red_ratio,edge_density,skeleton_length
image1.jpg,0.20150824635900308,0.030688587827223095,10091
image10.jpg,0.09517145972041548,0.08396872251335727,132231
image11.jpg,0.0616032881252453,0.07558954036021107,50195
image12.jpg,0.03553522359615299,0.07779605992110979,46683
image13.jpg,0.18417911739969325,0.07172673526938109,18185
image14.jpg,0.14800121878742717,0.1393973035836574,38790
image15.jpg,0.3698347412570889,0.02937071715500945,12507
image16.jpg,0.026100190888923284,0.15486250838363513,26136
image17.jpg,0.021923225308641974,0.17456404320987653,81324
image18.jpg,0.3152584769316287,0.10825273299981471,183355
image19.jpg,0.02422526041666667,0.28051106770833334,74741
image2.jpg,0.03419490254872564,0.02941229385307346,8246
image20.jpg,0.3345754168473334,0.19128168236824472,134295
image21.jpg,0.23041871648273723,0.19159547710854052,120801
image22.jpg,0.2226806608163808,0.04426771705890174,27465
image23.jpg,0.05284573739035088,0.07385896381578948,48889
image24.jpg,0.4514496813502346,0.07703795784018488,81981
image25.jpg,0.49847023668872087,0.017459977551984876,11083
image3.jpg,0.29237726098191213,0.024285099052540914,4883
image4.jpg,0.3531443346569397,0.07086526918459692,19131
image5.jpg,0.03290442781075419,0.06703092266061453,42377
image6.jpg,0.14363991769547324,0.032901234567901234,43509
image7.jpg,0.08518004130928035,0.1203132790004375,40911
image8.jpg,0.10809701966377197,0.06393412196813551,11545
image9.jpg,0.5185898919753087,0.1322337962962963,171805
image_1.jpg,0.007412068965517242,0.010498275862068966,10790
image_2.jpg,0.07404741379310345,0.012980172413793104,12637
image_3.jpg,0.09019051724137932,0.03309741379310345,34143
image_4.jpg,0.012924137931034483,0.015864655172413793,15585
image_5.jpg,0.01644051724137931,0.04561379310344828,43799
